,street,city,state,zip,livingArea,latitude,longitude,status,detailUrl,county,buildingStyle,description,yearBuilt,lotSizeSquareFeet,rental,totalBuildingAreaSquareFeet
57,8726 Lakeview Cmns LOT 50,Jonesboro,GA,30238,1550,33.518158,-84.42502,FOR_SALE,https://www.zillow.com/homedetails/8726-Lakeview-Cmns-LOT-50-Jonesboro-GA-30238/442614607_zpid/,Clayton County,TOWNHOUSE,"Welcome to your new urban sanctuary! These modern 3-bedroom, 2.5-bath townhomes are designed for contemporary living, featuring sleek, total electric setups and a stylish galley kitchen with stainless steel appliances, an island sink, and bar stool overhang. The open-concept living and dining area is bathed in natural light, creating a bright and airy atmosphere. Enjoy the convenience of a 1-car garage, built-in security system, and efficient water sprinkler system. With a low HOA fee of $550 annually, including lawn care, and unbeatable buyer incentives-up to $15,000 in down payment assistance, up to $15,000 in closing cost contributions, a minimal $500 earnest money deposit, and a swift 30-day move-in-these homes offer an exceptional blend of luxury and practicality. Embrace effortless living and move into your dream home today! This small intimate Community is only minutes from the Fayetteville Shopping Pavilion, only 30 mins from Downtown Atlanta, and 15 mins from Hartsfield Jackson Airport! COME TAKE A TOUR TODAY! Monday-Saturday from 11am-6pm and Sunday from 1pm-6pm.",2024,"1,742 sqft",False,"1,550"
58,11718 Chatham Dr #85,Hampton,GA,30228,1568,33.437176,-84.32225,FOR_SALE,https://www.zillow.com/homedetails/11718-Chatham-Dr-85-Hampton-GA-30228/2052946304_zpid/,Clayton County,TOWNHOUSE,"The Normandy floor plan at Chatham is the perfect townhome for you! Luxurious hardwoods throughout the main level lead to an amply sized family room with fireplace. Chefs alike will rejoice when seeing the gourmet kitchen with its stylish gray cabinets, stunning granite countertops, enormous island & separate dining area! Upper level features a huge owner's suite and a plush master bathroom with dual vanity, standing shower & enormous walk-in closet. Two spacious additional bedrooms & hall bathroom with granite countertops round out the upper level! The private backyard will be a hit when hosting family and friends. Awesome amenities include a playground, community pavilion, dog park, and a multi-purpose field! Don't miss out on the opportunity to own in this spectacular GATED community! MOVE IN READY!",2023,"3,484 sqft",False,"1,568"
59,11711 Chatham Dr #63,Hampton,GA,30228,1568,33.43793,-84.3231,FOR_SALE,https://www.zillow.com/homedetails/11711-Chatham-Dr-63-Hampton-GA-30228/342334785_zpid/,Clayton County,TOWNHOUSE,"The Normandy floor plan at Chatham is the perfect townhome for you! Luxurious hardwoods throughout the main level lead to an amply sized family room with fireplace. Chefs alike will rejoice when seeing the gourmet kitchen with its stylish gray cabinets, stunning granite countertops, enormous island & separate dining area! Upper level features a huge owner's suite and a plush master bathroom with dual vanity, standing shower & enormous walk-in closet. Two spacious additional bedrooms & hall bathroom with granite countertops round out the upper level! The private backyard will be a hit when hosting family and friends. Awesome amenities include a playground, community pavilion, dog park, and a multi-purpose field! Don't miss out on the opportunity to own in this spectacular GATED community!",2024,"3,484 sqft",False,"1,568"
60,12023 Conrad Cir,Hampton,GA,30228,2061,33.43096,-84.319496,FOR_SALE,https://www.zillow.com/homedetails/12023-Conrad-Cir-Hampton-GA-30228/440110681_zpid/,Clayton County,SINGLE_FAMILY,"READY NOW!! Welcome home to Shoal Creek!  Gated Community, easy access to Interstate 75, luxury living at an affordable price. Close to tons of shopping and dining, including Starbucks, Publix, Walmart, Aldi, Kroger and much more!  The Elston floor plan * This floor plan opens to a expansive foyer that leads to an open concept family room with hardwood on the main floor.  Kitchen features an oversized island that overlooks the family room, 42""white cabinets and granite countertops, walk-in pantry and stainless steel appliances.  Oversized primary bedroom features a ceiling fan, a large walk-in closet and bathroom with double vanities, and separate soaking tub and shower.  Home features a large loft on the second floor, perfect for the family to gather and relax after a long day. Smart home technology included!  Don't miss out on our below market interest rate fixed for 30 years available for a limited time on government and conventional loans with all CLOSING COSTS COVERED, STAINLESS STEEL APPLIANCE PACKAGE with the use of our preferred lender! 100% Financing available!  Additional Hometown hero incentive available for teachers, nurses, firefighters, law enforcement, EMT! STOCK PHOTOS of similar home.",2024,,False,"2,061"
61,11615 Chatham Dr,Hampton,GA,30228,1568,33.43883,-84.32297,FOR_SALE,https://www.zillow.com/homedetails/11615-Chatham-Dr-Hampton-GA-30228/440145854_zpid/,Clayton County,TOWNHOUSE,"The Normandy floor plan at Chatham is the perfect townhome for you! Luxurious hardwoods throughout the main level lead to an amply sized family room with fireplace. Chefs alike will rejoice when seeing the gourmet kitchen with its classic white cabinets, stunning granite countertops, enormous island & separate dining area! Upper level features a huge owner's suite and a plush master bathroom with dual vanity, standing shower & enormous walk-in closet. Two spacious additional bedrooms & hall bathroom with granite countertops round out the upper level! The private backyard will be a hit when hosting family and friends. Awesome amenities include a playground, community pavilion, dog park, and a multi-purpose field! Don't miss out on the opportunity to own in this spectacular GATED community! MOVE IN READY!",2024,"3,484 sqft",False,"1,568"
62,11980 Conrad Cir,Hampton,GA,30228,2061,33.429665,-84.319176,FOR_SALE,https://www.zillow.com/homedetails/11980-Conrad-Cir-Hampton-GA-30228/350319325_zpid/,Clayton County,SINGLE_FAMILY,"Gated Community, Easy access to Interstate luxury living at an Affordable price. 100% FINANCING ALONG WITH OUR SPECIAL BUYDOWN RATE OF ........  INTEREST WITH PREFERRED LENDER AND UP TO $10,000 BUILDER CONTRIBUTION TOWARDS CLOSING COSTS. PLUS, FULL FREE APPLIANCES PACKAGE: REFRIGERATOR, WASHER/DRYER, STOVE, MICROWAVE, DISWASHER. AN ADDITIONAL UP TO $2,000 TOWARD CLOSING COSTS FOR OUR HOMETOWN HEROS (NURSES, FIREFIGHTERS, POLICE OFFICERS, EMTS, MILITARIES, TEACHERS.) FOR CONTRACT WRITEN THIS MONTH TO CLOSE IN JULY. The Somerset plan: Beautiful owner's suite & spa like bath with separate shower, soak in tub with lots of closet's space, Double vanities and spacious closet. Tons of nearby shopping and fine dining. This floor plan has 4 Bedrooms 2.5 Baths, Hardwood (LVT) on main, 2 Car garage with garage door openers. Huge family room opens to a chef kitchen large enough to host extended parties with a long Kitchen Island. Dining room area open up endless possibilities. Blinds throughout the whole house. Home Is Smart Home Connected, your new home is built with industry leading suite of smart home products that keep you connected with the people and place you value most. FOR MORE INFORMATION CALL OR TEXT Allyn Solomon",2024,"8,712 sqft",False,"2,061"
63,859 Eagle Ave,Riverdale,GA,30247,1849,33.532722,-84.420944,FOR_SALE,https://www.zillow.com/homedetails/859-Eagle-Ave-Riverdale-GA-30247/443083245_zpid/,Clayton County,TOWNHOUSE,"JANUARY COMPLETION! ONLY $1,500 DOWN TO CONTRACT! NO CLOSING COST! DOWNTOWN FAYETTEVIILE! FAYETTE PAVILLION! TRILITH STUDIOS, LINE CREEK BREWERY--Introducing the Luca by DRB Homes, a stylish floor plan that spans 1,849 square feet. This inviting home features 3 bedrooms, 2.5 bathrooms, and a versatile media loft, making it perfect for both family life and entertaining. High-end touches include 42-inch soft-close cabinets and quartz countertops in the kitchen and secondary bathrooms, paired with durable luxury vinyl flooring throughout the common areas.  Each home is thoughtfully complete with essential appliances, including a refrigerator, washer, and dryer, ensuring a seamless move-in experience. Residents can take advantage of exclusive community amenities, including a swimming pool and cabanas, along with comprehensive HOA services for lawn care and exterior maintenance. Over 42 spaces for guest parking! Ideally situated just minutes from the airport, Trilith Studios, Fayette Pavilion, downtown Fayetteville, and Line Creek Brewery, the Luca offers an exceptional blend of modern comfort and convenience.",2024,"5,662 sqft",False,"1,849"
64,11646 Chatham Dr,Hampton,GA,30228,1568,33.43806,-84.32267,FOR_SALE,https://www.zillow.com/homedetails/11646-Chatham-Dr-Hampton-GA-30228/345433500_zpid/,Clayton County,TOWNHOUSE,"The Normandy floor plan at Chatham is the perfect townhome for you! Luxurious hardwoods throughout the main level lead to an amply sized family room with fireplace. Chefs alike will rejoice when seeing the gourmet kitchen with its stylish gray cabinets, stunning granite countertops, enormous island & separate dining area! Upper level features a huge owner's suite and a plush master bathroom with dual vanity, standing shower & enormous walk-in closet. Two spacious additional bedrooms & hall bathroom with granite countertops round out the upper level! The private backyard will be a hit when hosting family and friends. Awesome amenities include a playground, community pavilion, dog park, and a multi-purpose field! Don't miss out on the opportunity to own in this spectacular GATED community!",2024,"3,484 sqft",False,"1,568"
65,4249 Northwind Dr,Ellenwood,GA,30294,2014,33.63676,-84.27769,FOR_SALE,https://www.zillow.com/homedetails/4249-Northwind-Dr-Ellenwood-GA-30294/250292304_zpid/,Clayton County,SINGLE_FAMILY,"Come check out this BEAUTIFUL NEW 2-Story Home in the Northridge Station Community! The desirable Essex Plan boasts an open design throughout the Living, Dining, and Kitchen. The Kitchen features gorgeous cabinets, granite countertops, and Stainless-Steel Steel Appliances (Including Range with a Microwave hood and Dishwasher). On the 1st floor, there is a flex room and a half bathroom. All other bedrooms, including the primary suite, are on the 2nd floor. The primary suite has a private bath, dual vanity sinks, and a walk-in closet. The other three bedrooms contain a walk-in closet and share a secondary full-sized bath.   This desirable plan also includes additional loft space and a Walk-in Laundry room.",2024,0.54 Acres,False,"2,014"
66,16 Camellia Dr,Fairburn,GA,30213,1440,33.439648,-84.32026,FOR_SALE,https://www.zillow.com/homedetails/16-Camellia-Dr-Fairburn-GA-30213/442744892_zpid/,Clayton County,SINGLE_FAMILY,"Welcome to the Zoey II at Lot 31 in the brand-new Enclave at Evergreen community by DRB Homes. This beautifully designed single-family home offers 4 bedrooms, 3 bathrooms, and a layout that blends style and functionality for modern living.      The Zoey II floor plan features a spacious, open-concept kitchen with a large island overlooking the dining area and family room, perfect for entertaining and family gatherings.      The large primary suite, located on the upper level, provides a peaceful retreat with a spacious sitting area, tray ceiling, and an expansive walk-in closet. The private en-suite bathroom includes dual vanities, a tub, and a walk-in shower.      One of the bedrooms is conveniently located on the main floor, offering flexibility for guests or a home office.      Enjoy the added convenience of an upper-level laundry room, making household chores more efficient.      *Note: Photos may not reflect the actual home. Experience the Zoey II and all it has to offer today!*",2024,,False,"1,440"
67,12 Camellia Dr,Fairburn,GA,30213,1440,33.439648,-84.32026,FOR_SALE,https://www.zillow.com/homedetails/12-Camellia-Dr-Fairburn-GA-30213/442758854_zpid/,Clayton County,SINGLE_FAMILY,"Welcome to the Millhaven at Lot 32 in the prestigious Enclave at Evergreen community by DRB Homes! This thoughtfully designed single-family home offers 4 bedrooms, 3.5 bathrooms, and an inviting open-concept layout that perfectly balances style and functionality.      The heart of the home is the spacious kitchen, featuring a large island overlooking the dining area and family room—ideal for entertaining or enjoying everyday moments with family.      On the main level, you’ll find a private suite with an en-suite bathroom, offering flexibility as a guest retreat or home office.      Upstairs, the owner’s suite provides a peaceful sanctuary with volume ceilings, an expansive walk-in closet, and a private en-suite complete with dual vanities, a tub, and a walk-in shower. Two additional bedrooms, a full bathroom, and a versatile loft area offer ample space for relaxation, work, or play.      The upper-level laundry room adds convenience, while the additional half-bath on the main floor enhances the home’s functionality.      *Note: Photos may not reflect the actual home. Come explore the Millhaven and envision your next chapter in this stunning space!*",2024,,False,"1,440"
68,11981 Conrad Cir,Hampton,GA,30228,2361,33.43082,-84.31939,FOR_SALE,https://www.zillow.com/homedetails/11981-Conrad-Cir-Hampton-GA-30228/439161121_zpid/,Clayton County,SINGLE_FAMILY,"Gated Community, easy access to Interstate 75, luxury living at an affordable price. The Robie floor plan*  Welcome home to Shoal Creek!  Luxury living at its finest. Close to tons of shopping and dining.  This floor plan opens to a expansive foyer that leads to an open concept family room with hardwood on the main floor.  Kitchen features an oversized island that overlooks the family room, white cabinets and granite countertops, walk-in pantry and stainless steel appliances.  Oversized primary bedroom features a ceiling fan, a large walk-in closet and bathroom with double vanity, separate soaking tub and shower, and a loft right outside the door for relaxing!  Smart home technology included, along with garage door openers, and whole house blinds!  Don't miss out on our below market interest rate fixed for 30 years available for a limited time at no cost to you with the use of preferred lender!  Additional Hometown hero incentive available for teachers, nurses, firefighters, law enforcement, EMT! Stock photos of similar home.  Home is under construction and is scheduled to be completed in November.",2024,,False,"2,361"
69,11646 Chatham Dr #101,Hampton,GA,30228,1568,33.437843,-84.32233,FOR_SALE,https://www.zillow.com/homedetails/11646-Chatham-Dr-101-Hampton-GA-30228/345433539_zpid/,Clayton County,TOWNHOUSE,"The Normandy floor plan at Chatham is the perfect townhome for you! Luxurious hardwoods throughout the main level lead to an amply sized family room with fireplace. Chefs alike will rejoice when seeing the gourmet kitchen with its stylish gray cabinets, stunning granite countertops, enormous island & separate dining area! Upper level features a huge owner's suite and a plush master bathroom with dual vanity, standing shower & enormous walk-in closet. Two spacious additional bedrooms & hall bathroom with granite countertops round out the upper level! The private backyard will be a hit when hosting family and friends. Awesome amenities include a playground, community pavilion, dog park, and a multi-purpose field! Don't miss out on the opportunity to own in this spectacular GATED community!",2024,"3,484 sqft",False,"1,568"
70,11695 Chatham Dr,Hampton,GA,30228,1568,33.43769,-84.323074,FOR_SALE,https://www.zillow.com/homedetails/11695-Chatham-Dr-Hampton-GA-30228/342321469_zpid/,Clayton County,TOWNHOUSE,"The Normandy floor plan at Chatham is the perfect townhome for you! This is a highly desired END UNIT! Luxurious hardwoods throughout the main level lead to an amply sized family room with fireplace. Chefs alike will rejoice when seeing the gourmet kitchen with its crisp white cabinets, stunning granite countertops, enormous island & separate dining area! Upper level features a huge owner's suite and a plush master bathroom with dual vanity, standing shower & enormous walk-in closet. Two spacious additional bedrooms & hall bathroom with granite countertops round out the upper level! The private backyard will be a hit when hosting family and friends. Awesome amenities include a playground, community pavilion, dog park, and a multi-purpose field! Don't miss out on the opportunity to own in this spectacular GATED community! MOVE IN READY!",2024,"5,662 sqft",False,"1,568"
71,2711 McDonough Rd,Hampton,GA,30228,2006,33.45461,-84.3037,FOR_SALE,https://www.zillow.com/homedetails/2711-McDonough-Rd-Hampton-GA-30228/249012500_zpid/,Clayton County,SINGLE_FAMILY,"Buy this home & I will buy yours! Now you can buy this home with Zero Down!!  EASY access to I-75, tons of nearby Shopping and Dining. Award-winning Schools! Open the door to a beautiful ranch that leads to an open concept  design with 4 private bedrooms and  2 full baths. There is a master suite featuring a spa-like bath and extra closet space. Expansive kitchen opens to family room with fireplace by dinning area. Cabinets color is a nice espresso brown. This Beautiful new construction is on more than an acre lot. No HOA or rental restrictions. Nice and quiet area. There is a very spacious detached two-car garage . Near all area amenities and attractions this home is the perfect combination of comfort and location!Don't miss out on this gem and make this beautiful home yours!  Two-Year Satisfaction. Buy it & if you're unhappy with your purchase in 24 months, we will sell it for free! Call today and a free One-year Home Warranty can be included And you will never be too far from shops and resturants.",2023,1.30 Acres,False,"2,006"
72,11695 Chatham Dr #59,Hampton,GA,30228,1568,33.437374,-84.32294,FOR_SALE,https://www.zillow.com/homedetails/11695-Chatham-Dr-59-Hampton-GA-30228/342321565_zpid/,Clayton County,TOWNHOUSE,"The Normandy floor plan at Chatham is the perfect townhome for you! This is a highly desired END UNIT! Luxurious hardwoods throughout the main level lead to an amply sized family room with fireplace. Chefs alike will rejoice when seeing the gourmet kitchen with its crisp white cabinets, stunning granite countertops, enormous island & separate dining area! Upper level features a huge owner's suite and a plush master bathroom with dual vanity, standing shower & enormous walk-in closet. Two spacious additional bedrooms & hall bathroom with granite countertops round out the upper level! The private backyard will be a hit when hosting family and friends. Awesome amenities include a playground, community pavilion, dog park, and a multi-purpose field! Don't miss out on the opportunity to own in this spectacular GATED community! MOVE IN READY!",2023,"5,662 sqft",False,"1,568"
73,2212 Croghan Dr,Hampton,GA,30228,1440,33.439648,-84.32026,FOR_SALE,https://www.zillow.com/homedetails/2212-Croghan-Dr-Hampton-GA-30228/339033051_zpid/,Clayton County,SINGLE_FAMILY,"Welcome home to the EMMA at Towne Center on Lot 179, situated in the highly sought-after Hampton community by DRB Homes! This exquisite single-family residence boasts a beautiful Craftsman exterior, combining timeless design with modern functionality.    The spacious EMMA floor plan is thoughtfully crafted on a slab foundation, offering 3 bedrooms and 2.5 bathrooms. The open layout on the main level creates an inviting atmosphere, perfect for entertaining friends and family or enjoying quiet evenings at home.    The stunning kitchen serves as the heart of the home, featuring an expansive island with elegant quartz countertops that provide both beauty and durability. Beautifully designed cabinetry complements the overall aesthetic, and a spacious walk-in pantry offers ample storage for all your cooking essentials.    The luxurious owner's suite is conveniently located on the main level, offering a private retreat complete with an en-suite bathroom designed for relaxation and convenience. This thoughtfully laid-out space ensures comfort and privacy.    Venture upstairs to discover a large loft area that can serve as a versatile space—ideal for a home office, game room, or additional lounge area. You'll also find two generously sized secondary bedrooms, each equipped with walk-in closets, providing plenty of storage and personal space for family members or guests.    Please note that the photos may not represent the actual home, but they capture the quality and design you can expect from DRB Homes. Don’t miss the opportunity to make the EMMA your new home in the vibrant Hampton community!",2024,,False,"1,440"
74,2271 Lovejoy Rd #71,Hampton,GA,30228,1883,33.438698,-84.31801,FOR_SALE,https://www.zillow.com/homedetails/2271-Lovejoy-Rd-71-Hampton-GA-30228/439971015_zpid/,Clayton County,SINGLE_FAMILY,"Capshaw Homes Presents The Redbud Floor Plan features 4 beds/2.5 baths Craftsman Style Home. Offers an open concept with 9 ft ceilings on main level, vaulted ceilings in secondary bedrooms per plans Brick FP, LVP flooring, 42"" Cabs with Granite Top in Kitchen, Tile Backsplash, SS appliances, recessed cans, blinds on front & sides, bronze fixtures & more. Home is Under Construction!!",2022,"4,007 sqft",False,"1,883"
75,2220 Croghan Dr,Hampton,GA,30228,1440,33.439648,-84.32026,FOR_SALE,https://www.zillow.com/homedetails/2220-Croghan-Dr-Hampton-GA-30228/339033053_zpid/,Clayton County,SINGLE_FAMILY,"Welcome home to the EMMA at Towne Center on Lot 181, situated in the highly sought-after Hampton community by DRB Homes! This exquisite single-family residence boasts a beautiful Craftsman exterior, combining timeless design with modern functionality.    The spacious EMMA floor plan is thoughtfully crafted on a slab foundation, offering 3 bedrooms and 2.5 bathrooms. The open layout on the main level creates an inviting atmosphere, perfect for entertaining friends and family or enjoying quiet evenings at home.    The stunning kitchen serves as the heart of the home, featuring an expansive island with elegant quartz countertops that provide both beauty and durability. Beautifully designed cabinetry complements the overall aesthetic, and a spacious walk-in pantry offers ample storage for all your cooking essentials.    The luxurious owner's suite is conveniently located on the main level, offering a private retreat complete with an en-suite bathroom designed for relaxation and convenience. This thoughtfully laid-out space ensures comfort and privacy.    Venture upstairs to discover a large loft area that can serve as a versatile space—ideal for a home office, game room, or additional lounge area. You'll also find two generously sized secondary bedrooms, each equipped with walk-in closets, providing plenty of storage and personal space for family members or guests.    Please note that the photos may not represent the actual home, but they capture the quality and design you can expect from DRB Homes. Don’t miss the opportunity to make the EMMA your new home in the vibrant Hampton community!",2024,,False,"1,440"
76,11638 Chatham Dr,Hampton,GA,30228,1568,33.438152,-84.32262,FOR_SALE,https://www.zillow.com/homedetails/11638-Chatham-Dr-Hampton-GA-30228/345433728_zpid/,Clayton County,TOWNHOUSE,"The Normandy floor plan at Chatham is the perfect townhome for you! Luxurious hardwoods throughout the main level lead to an amply sized family room with fireplace. Chefs alike will rejoice when seeing the gourmet kitchen with its stylish gray cabinets, stunning granite countertops, enormous island & separate dining area! Upper level features a huge owner's suite and a plush master bathroom with dual vanity, standing shower & enormous walk-in closet. Two spacious additional bedrooms & hall bathroom with granite countertops round out the upper level! The private backyard will be a hit when hosting family and friends. Awesome amenities include a playground, community pavilion, dog park, and a multi-purpose field! Don't miss out on the opportunity to own in this spectacular GATED community!",2024,"3,484 sqft",False,"1,568"
77,11638 Chatham Dr #103,Hampton,GA,30228,1568,33.43786,-84.32231,FOR_SALE,https://www.zillow.com/homedetails/11638-Chatham-Dr-103-Hampton-GA-30228/345433743_zpid/,Clayton County,TOWNHOUSE,"The Normandy floor plan at Chatham is the perfect townhome for you! Luxurious hardwoods throughout the main level lead to an amply sized family room with fireplace. Chefs alike will rejoice when seeing the gourmet kitchen with its stylish gray cabinets, stunning granite countertops, enormous island & separate dining area! Upper level features a huge owner's suite and a plush master bathroom with dual vanity, standing shower & enormous walk-in closet. Two spacious additional bedrooms & hall bathroom with granite countertops round out the upper level! The private backyard will be a hit when hosting family and friends. Awesome amenities include a playground, community pavilion, dog park, and a multi-purpose field! Don't miss out on the opportunity to own in this spectacular GATED community!",2024,"3,484 sqft",False,"1,568"
78,8210 Tiger Way,Riverdale,GA,30274,1849,33.532722,-84.420944,FOR_SALE,https://www.zillow.com/homedetails/8210-Tiger-Way-Riverdale-GA-30274/441579993_zpid/,Clayton County,TOWNHOUSE,"JOIN US FEB 1ST FOR OUR GRAND OPEING- FREE LUNCH, PRIZES AND GIVEAWAYS- SPECIAL GRAND OPENING INVENTIVES! FOOD TRUCK IS 11:30AM-2:30PM! MOVE IN READY! $1,500 DOWN TO CONTRACT! NO CLOSING COST! DOWNTOWN FAYETTEVIILE! FAYETTE PAVILLION! TRILITH STUDIOS, LINE CREEK BREWERY! Introducing the Luca by DRB Homes, a stylish floor plan that spans 1,849 square feet. This inviting home features 3 bedrooms, 2.5 bathrooms, and a versatile media loft, making it perfect for both family life and entertaining. High-end touches include 42-inch soft-close cabinets and quartz countertops in the kitchen and secondary bathrooms, paired with durable luxury vinyl flooring throughout the common areas.  Each home is thoughtfully complete with essential appliances, including a refrigerator, washer, and dryer, ensuring a seamless move-in experience. Residents can take advantage of exclusive community amenities, including a swimming pool and cabanas, along with comprehensive HOA services for lawn care and exterior maintenance. Over 42 spaces for guest parking! Ideally situated just minutes from the airport, Trilith Studios, Fayette Pavilion, downtown Fayetteville, and Line Creek Brewery, the Luca offers an exceptional blend of modern comfort and convenience.",2024,"5,662 sqft",False,"1,849"
79,5717 Laney Dr,Rex,GA,30273,2377,33.5821,-84.2759,FOR_SALE,https://www.zillow.com/homedetails/5717-Laney-Dr-Rex-GA-30273/439593775_zpid/,Clayton County,SINGLE_FAMILY,"Capshaw Homes presents the WILLOW DESIGN at LANEY PLACE! YES.. This Breathtaking Home at an unbelievable price features 5 bedrooms/ 3 baths & open floor concept. Gourmet kitchen with stainless steel appliances, tile backsplash and luxurious Granite overlooking the Great room. Beautiful eye-catching brick fireplace with decorative hearth and luxury vinyl plank flooring throughout main level, baths & laundry. Come and see the what makes Capshaw different from other Builders. Capshaw Homes has been recognized with the 2020 Platinum Builder Award All Homes are backed by a 2-10 Home buyer's Warranty. https://www.2-10.com/builders-warranty/builder-awards/# Call Donn Robinson @ 404-456-2868",2024,0.30 Acres,False,"2,377"
80,11981 Conrad Cir #167,Hampton,GA,30228,0,33.428986,-84.31803,FOR_SALE,https://www.zillow.com/homedetails/11981-Conrad-Cir-167-Hampton-GA-30228/439179168_zpid/,Clayton County,SINGLE_FAMILY,"Gated Community, easy access to Interstate 75, luxury living at an affordable price. The Robie floor plan*  Welcome home to Shoal Creek!  Luxury living at its finest. Close to tons of shopping and dining.  This floor plan opens to a expansive foyer that leads to an open concept family room with hardwood on the main floor.  Kitchen features an oversized island that overlooks the family room, white cabinets and granite countertops, walk-in pantry and stainless steel appliances.  Oversized primary bedroom features a ceiling fan, a large walk-in closet and bathroom with double vanity, separate soaking tub and shower, and a loft right outside the door for relaxing!  Smart home technology included, along with garage door openers, and whole house blinds!  Don't miss out on our below market interest rate fixed for 30 years available for a limited time at no cost to you with the use of preferred lender!  Additional Hometown hero incentive available for teachers, nurses, firefighters, law enforcement, EMT!  Selling fast!!  Please use Showingtime to schedule appointment. STOCK PHOTOS of similar home.",2024,,False,0
81,867 Eagle Ave,Riverdale,GA,30247,1849,33.533028,-84.420975,FOR_SALE,https://www.zillow.com/homedetails/867-Eagle-Ave-Riverdale-GA-30247/443083499_zpid/,Clayton County,TOWNHOUSE,"JOIN US FEB 1ST FOR OUR GRAND OPEING- FREE LUNCH, PRIZES AND GIVEAWAYS- SPECIAL GRAND OPENING INVENTIVES! FOOD TRUCK IS 11:30AM-2:30PM! ALL APPLIANCES INCLUDED! ONLY $1,500 DOWN TO CONTRACT! NO CLOSING COST! DOWNTOWN FAYETTEVIILE! FAYETTE PAVILLION! TRILITH STUDIOS, LINE CREEK BREWERY--Introducing the Luca by DRB Homes, a stylish floor plan that spans 1,849 square feet. This inviting home features 3 bedrooms, 2.5 bathrooms, and a versatile media loft, making it perfect for both family life and entertaining. High-end touches include 42-inch soft-close cabinets and quartz countertops in the kitchen and secondary bathrooms, paired with durable luxury vinyl flooring throughout the common areas.  Each home is thoughtfully complete with essential appliances, including a refrigerator, washer, and dryer, ensuring a seamless move-in experience. Residents can take advantage of exclusive community amenities, including a swimming pool and cabanas, along with comprehensive HOA services for lawn care and exterior maintenance. Over 42 spaces for guest parking! Ideally situated just minutes from the airport, Trilith Studios, Fayette Pavilion, downtown Fayetteville, and Line Creek Brewery, the Luca offers an exceptional blend of modern comfort and convenience.",2024,"5,662 sqft",False,"1,849"
82,8660 Lakeview Cmns LOT 39,Jonesboro,GA,30238,1510,33.518467,-84.42514,FOR_SALE,https://www.zillow.com/homedetails/8660-Lakeview-Cmns-LOT-39-Jonesboro-GA-30238/351815158_zpid/,Clayton County,TOWNHOUSE,"Welcome to your new urban sanctuary! These modern 3-bedroom, 2.5-bath townhomes are designed for contemporary living, featuring sleek, total electric setups and a stylish galley kitchen with stainless steel appliances, an island sink, and bar stool overhang. The open-concept living and dining area is bathed in natural light, creating a bright and airy atmosphere. Enjoy the convenience of a 1-car garage, built-in security system, and efficient water sprinkler system. With a low HOA fee of $550 annually, including lawn care, and unbeatable buyer incentives-up to $12,500 in down payment assistance, up to $15,000 in closing cost contributions, a minimal $500 earnest money deposit, and a swift 30-day move-in-these homes offer an exceptional blend of luxury and practicality. Embrace effortless living and move into your dream home today! This small intimate Community is only minutes from the Fayetteville Shopping Pavilion, only 30 mins from Downtown Atlanta, and 15 mins from Hartsfield Jackson Airport! COME TAKE A TOUR TODAY! Monday-Saturday from 11am-6pm and Sunday from 1pm-6pm.",2023,"1,742 sqft",False,"1,510"
83,12116 Conrad Cir #114,Hampton,GA,30228,0,33.43029,-84.31729,FOR_SALE,https://www.zillow.com/homedetails/12116-Conrad-Cir-114-Hampton-GA-30228/443658818_zpid/,Clayton County,SINGLE_FAMILY,"Gated Community, easy access to Hwy 75 & Atlanta Hartsfield airport. Luxury living at an affordable price. The Hillcrest floor plan* Welcome home to Shoal Creek!  Luxury living at its finest. Close to tons of shopping and dining.  This floor plan opens to a expansive foyer that leads to an open concept family room with hardwood on the main floor.  Kitchen features an oversized island that overlooks the family room, Soft close cabinets and granite countertops, walk-in pantry and stainless steel appliances.  Oversized primary bedroom features a ceiling fan, a large walk-in closet and bathroom with double vanity, and separate soaking tub and shower.  Smart home technology included, along with garage door openers, and whole house blinds!  Don't miss out on our below market fixed interest rate available for a limited time at no cost to you!  Additional Hometown hero incentive available for teachers, nurses, firefighters, law enforcement, EMT!  Selling fast!!   Please use Showing time to schedule appointment. STOCK PHOTOS of similar home.",2024,,False,0
